Price,Close,High,Low,Open,Volume,returns,return_squared,Regime_new,Regime_label
2014-07-07,7787.14990234375,7792.0,7755.10009765625,7780.39990234375,173900,0.004575640474488179,2.093648575177441e-05,0,Bull
2014-07-08,7623.2001953125,7808.85009765625,7595.89990234375,7804.0498046875,180600,-0.02127867207000753,0.00045278188506291854,2,HighVol
2014-07-09,7585.0,7650.10009765625,7551.64990234375,7637.9501953125,168300,-0.005023641872147828,2.523697765959693e-05,1,Bear
2014-07-10,7567.75,7731.0498046875,7479.0498046875,7589.5,258400,-0.0022768154231857557,5.183888471256532e-06,1,Bear
2014-07-11,7459.60009765625,7625.85009765625,7447.2001953125,7584.10009765625,187600,-0.014393990810803546,0.00020718697146149693,2,HighVol
2014-07-14,7454.14990234375,7478.4501953125,7422.14990234375,7469.0,135200,-0.0007308953891714673,5.342080699121105e-07,1,Bear
2014-07-15,7526.64990234375,7534.89990234375,7459.14990234375,7491.2998046875,122100,0.009679131549908635,9.368558756043673e-05,0,Bull
2014-07-16,7624.39990234375,7640.10009765625,7532.4501953125,7564.14990234375,168000,0.012903575337152367,0.00016650225648156682,2,HighVol
2014-07-17,7640.4501953125,7655.64990234375,7612.7001953125,7612.7001953125,141600,0.002102909465983186,4.422228222121689e-06,0,Bull
2014-07-18,7663.89990234375,7685.0,7595.5,7630.25,134600,0.0030644522939827193,9.390867862095951e-06,0,Bull
2014-07-21,7684.2001953125,7722.10009765625,7674.0,7701.64990234375,105400,0.0026453182709969426,6.997708754870254e-06,0,Bull
2014-07-22,7767.85009765625,7773.85009765625,7704.7998046875,7708.2001953125,120100,0.01082713528937421,0.00011722685857441236,0,Bull
2014-07-23,7795.75,7809.2001953125,7752.89990234375,7794.89990234375,122100,0.0035852800193615086,1.285423281723286e-05,0,Bull
2014-07-24,7830.60009765625,7835.64990234375,7771.64990234375,7796.25,117600,0.004460434486412476,1.989547580757773e-05,0,Bull
2014-07-25,7790.4501953125,7840.9501953125,7748.60009765625,7828.2001953125,153900,-0.005140498238365478,2.642472213863858e-05,1,Bear
2014-07-28,7748.7001953125,7799.89990234375,7722.64990234375,7792.89990234375,116500,-0.005373537086780802,2.8874900823008705e-05,1,Bear
2014-07-30,7791.39990234375,7798.7001953125,7707.60009765625,7746.2001953125,178100,0.005495436222823544,3.0199819279121097e-05,0,Bull
2014-07-31,7721.2998046875,7791.85009765625,7711.14990234375,7784.64990234375,208900,-0.009037830441044684,8.168237908107394e-05,1,Bear
2014-08-01,7602.60009765625,7716.7001953125,7593.89990234375,7662.5,181100,-0.015492411451246685,0.00024001481257471943,2,HighVol
2014-08-04,7683.64990234375,7694.7998046875,7622.0498046875,7639.5498046875,137000,0.010604375070275692,0.0001124527706310846,0,Bull
2014-08-05,7746.5498046875,7752.4501953125,7638.0498046875,7706.64990234375,128200,0.00815287578222499,6.646938352039074e-05,0,Bull
2014-08-06,7672.0498046875,7740.9501953125,7658.9501953125,7726.14990234375,116400,-0.009663728440738909,9.338764737634606e-05,1,Bear
2014-08-07,7649.25,7708.9501953125,7630.39990234375,7651.14990234375,116800,-0.0029762254910542657,8.857918173601205e-06,1,Bear
2014-08-08,7568.5498046875,7592.4501953125,7540.10009765625,7588.7001953125,118400,-0.010606126094877983,0.00011248991074045168,1,Bear
2014-08-11,7625.9501953125,7635.5498046875,7598.60009765625,7619.85009765625,107000,0.007555452786540585,5.708486680964389e-05,0,Bull
2014-08-12,7727.0498046875,7735.75,7654.7998046875,7688.7998046875,120600,0.013170203962401476,0.00017345427241125555,2,HighVol
2014-08-13,7739.5498046875,7757.10009765625,7695.7001953125,7717.2998046875,154100,0.0016163866702790495,2.6127058678557927e-06,0,Bull
2014-08-14,7791.7001953125,7796.7001953125,7739.10009765625,7756.14990234375,127300,0.0067155684981506794,4.5098860253353775e-05,0,Bull
2014-08-18,7874.25,7880.5,7779.2001953125,7785.25,126700,0.010538852441929612,0.00011106741079276576,0,Bull
